Name of Ride,Type,Tags,Fastpass?,Ride Time
Astro Orbiter,M,"""Slow Rides, Spinning, Soaring""",0,1:30
The Barnstormer,K,"""Rollercoaster, Gentle""",1,1:03
Big Thunder Mountain Railroad,M,"""Rollercoaster, Interactive""",1,3:25
Buzz Lightyear's Space Ranger Spin,K,"""Spinning, Indoors, Interactive, Dark""",1,4:03
Walt Disney's Carousel of Progress,K,"""Animatronic, Stage Show, Indoors""",0,20:45
Country Bear Jamboree,K,"""Animatronic, Stage Show, Indoors""",0,12:00
Dumbo the Flying Elephant,K,"""Spinning, Slow Rides, Gentle, Soaring""",1,1:30
Walt Disney's Enchanted Tiki Room,K,"""Animatronic, Stage Show, Musical, Indoors""",0,10:00
The Hall of Presidents,K,"""Animatronic, Stage Show, Indoors""",0,21:35
Haunted Mansion,M,"""Animatronic, Spooky, Dark""",1,7:30
it's a small world,K,"""Animatronic, Indoors, Musical""",1,10:30
Jungle Cruise,K,"""Gentle, Water""",1,9:05
Liberty Square Riverboat,K,"""Gentle, Water""",0,12:45
Mad Tea Party,K,"""Spinning""",1,1:30
The Magic Carpets of Aladdin,K,"""Spinning, Soaring, Gentle""",1,1:30
The Many Adventures of Winnie the Pooh,K,"""Gentle, Indoors""",1,3:08
Mickey's PhilharMagic,K,"""Stage Show, Musical, Indoors""",0,12:00
"Monsters, Inc. Laugh Floor",K,"""Interactive, Stage Show, Indoors""",0,11:00
Peter Pan's Flight,K,"""Gentle, Indoors""",1,2:45
Pirates of the Caribbean,K,"""Gentle, Dark, Indoors, Animatronic""",1,8:30
Prince Charming Regal Carrousel,K,"""Spinning""",0,2:00
Seven Dwarfs Mine Train,M,"""Rollercoaster, Small Drops""",1,2:30
Space Mountain,T,"""Rollercoaster, Dark, Big Drops""",1,2:30
Splash Mountain,T,"""Rollercoaster, Water, Big Drops""",1,11:00
Tomorrowland Speedway,K,"""Gentle, Loud""",1,4:45
Tomorrowland Transit Authority PeopleMover,K,"""Slow Rides""",0,10:04
Under the Sea - Journey of The Little Mermaid,K,"""Interactive, Indoors""",1,6:15
